obs    year    loc      plot   row     col     rep     iblk   entry      yield                                                                     
177     1       2       4087    1       7       3       44      14      4029.87                                                         
178     1       2       4088    1       8       3       44      7       3841.50                                                         
179     1       2       4089    1       9       3       45      19      3195.64                                                         
180     1       2       4090    1       10      3       45      17      5368.68                                                         
181     1       3       4001    5       15      1       1       1       2714.61                                                         
182     1       3       4002    5       14      1       1       2       2667.52                                                         
183     1       3       4003    5       13      1       2       3       2223.49                                                         
184     1       3       4004    5       12      1       2       4       2432.05                                                         
185     1       3       4005    5       11      1       3       5       2290.77                                                         
186     1       3       4006    5       10      1       3       6       2993.81                                                         
187     1       3       4007    5       9       1       4       7       2502.69                                                         
188     1       3       4008    5       8       1       4       8       3165.37                                                         
189     1       3       4009    5       7       1       5       9       2899.62                                                         
190     1       3       4010    5       6       1       5       10      2929.90                                                         
191     1       3       4011    5       5       1       6       11      2738.16                                                         
192     1       3       4012    5       4       1       6       12      2946.72                                                         
193     1       3       4013    5       3       1       7       13      2691.07                                                         
194     1       3       4014    5       2       1       7       14      1634.82                                                         
195     1       3       4015    5       1       1       8       15      3114.91                                                         
196     1       3       4016    4       1       1       8       16      2643.97                                                         
197     1       3       4017    4       2       1       9       17      2754.98                                                         
198     1       3       4018    4       3       1       9       18      3299.92                                                         
199     1       3       4019    4       4       1       10      19      3236.01                                                         
200     1       3       4020    4       5       1       10      20      3350.38                                                         
201     1       3       4021    4       6       1       11      21      1362.35                                                         
202     1       3       4022    4       7       1       11      22      2519.51                                                         
203     1       3       4023    4       8       1       12      23      3034.18                                                         
204     1       3       4024    4       9       1       12      24      2482.51                                                         
205     1       3       4025    4       10      1       13      25      2960.17                                                         
206     1       3       4026    4       11      1       13      26      3155.27                                                         
207     1       3       4027    4       12      1       14      27      2950.08                                                         
208     1       3       4028    4       13      1       14      28      3138.46                                                         
209     1       3       4029    4       14      1       15      29      3017.36                                                         
210     1       3       4030    4       15      1       15      30      3229.28                                                         
211     1       3       4031    4       16      2       16      7       2448.87                                                         
212     1       3       4032    4       17      2       16      23      3125.00                                                         
213     1       3       4033    4       18      2       17      16      2657.43                                                         
214     1       3       4034    4       19      2       17      27      3273.01                                                         
215     1       3       4035    4       20      2       18      12      3165.37                                                         
216     1       3       4036    3       20      2       18      1       2586.79                                                         
