Week,Pen_ID,Time,Treatment,Gest_stage,Amb_Temp,RH,Mean
2,6_2,0.39305555555555555,C,Early,24.44,65.05,33.6
2,6_2,0.39375,C,Early,24.44,65.05,35.1
2,6_2,0.3951388888888889,C,Early,24.44,65.05,36.1
2,6_4,0.42986111111111114,C,Early,24.44,65.05,33
2,6_4,0.42986111111111114,C,Early,24.44,65.05,33.7
2,6_4,0.4305555555555556,C,Early,24.44,65.05,34.2
2,6_4,0.4305555555555556,C,Early,24.44,65.05,34.5
2,6_4,0.4305555555555556,C,Early,24.44,65.05,36.3
2,6_6,0.4131944444444444,C,Early,24.44,65.05,31.7
2,6_6,0.4131944444444444,C,Early,24.44,65.05,34.6
2,6_6,0.41388888888888886,C,Early,24.44,65.05,34.3
2,6_6,0.41458333333333336,C,Early,24.44,65.05,34.3
2,6_6,0.4152777777777778,C,Early,24.44,65.05,33.8
2,7_1,0.3888888888888889,C,Early,24.44,65.05,35.2
2,7_1,0.3888888888888889,C,Early,24.44,65.05,35.1
2,7_1,0.38958333333333334,C,Early,24.44,65.05,35.9
2,7_1,0.3902777777777778,C,Early,24.44,65.05,35.7
2,7_1,0.3923611111111111,C,Early,24.44,65.05,36
2,7_3,0.39861111111111114,C,Early,24.44,65.05,33.1
2,7_3,0.39861111111111114,C,Early,24.44,65.05,33.8
2,7_3,0.3993055555555556,C,Early,24.44,65.05,35.1
2,7_3,0.3993055555555556,C,Early,24.44,65.05,35.2
2,7_3,0.4,C,Early,24.44,65.05,35.5
2,7_5,0.4083333333333333,C,Early,24.44,65.05,34.2
2,7_5,0.40902777777777777,C,Early,24.44,65.05,34.2
2,7_5,0.41041666666666665,C,Early,24.44,65.05,34.6
2,7_5,0.41041666666666665,C,Early,24.44,65.05,34.8
2,7_5,0.4111111111111111,C,Early,24.44,65.05,35.2
2,8_2,0.4326388888888889,C,Early,24.44,65.05,34
2,8_2,0.43333333333333335,C,Early,24.44,65.05,35.4
2,8_2,0.4340277777777778,C,Early,24.44,65.05,34.5
2,8_2,0.4361111111111111,C,Early,24.44,65.05,35.4
2,8_2,0.4361111111111111,C,Early,24.44,65.05,35.7
2,8_4,0.42569444444444443,C,Early,24.44,65.05,33
2,8_4,0.4263888888888889,C,Early,24.44,65.05,33.8
2,8_4,0.44166666666666665,C,Early,24.44,65.05,35.9
2,8_4,0.4423611111111111,C,Early,24.44,65.05,34.4
2,8_4,0.4423611111111111,C,Early,24.44,65.05,35.3
2,8_6,0.46458333333333335,C,Early,24.44,65.05,33.4
2,8_6,0.46458333333333335,C,Early,24.44,65.05,31.9
2,8_6,0.46458333333333335,C,Early,24.44,65.05,32
2,8_6,0.4652777777777778,C,Early,24.44,65.05,34.5
